	tweet source	counter	compound	negative	neutral	positive	text	created_at
0	@CNNbrk	1	-0.5574	0.474	0.526	0.0	@My4EverWorld @vnktrag1 @cnnbrk Ban viruses?	Sat Apr 28 15:27:50 +0000 2018
1	@CNNbrk	2	-0.0772	0.15	0.712	0.139	@cnnbrk Police have a history of using Tasers in a sadistic manner; get pleasure from use. The bastards even use it on children.	Sat Apr 28 15:27:45 +0000 2018
2	@CNNbrk	3	0.508	0.0	0.233	0.767	@cnnbrk Yes!!	Sat Apr 28 15:27:27 +0000 2018
3	@CNNbrk	4	-0.4767	0.341	0.659	0.0	@cnnbrk Remove this Obama Clinton incompetent crony.	Sat Apr 28 15:27:10 +0000 2018
4	@CNNbrk	5	0.0	0.0	1.0	0.0	@cnnbrk https://t.co/bSVIwGvFrk	Sat Apr 28 15:27:08 +0000 2018
5	@CNNbrk	6	-0.296	0.091	0.909	0.0	RT @cnnbrk: Texas will be allowed to enforce its voter ID law in the upcoming election after a federal appeals court overruled a lower cour…	Sat Apr 28 15:26:35 +0000 2018
6	@CNNbrk	7	0.0	0.0	1.0	0.0	@Back2Bets 2 kart  ùye ad: drogheda34  @cnnbrk @vmas @xtina	Sat Apr 28 15:26:15 +0000 2018
7	@CNNbrk	8	0.4738	0.0	0.619	0.381	@CNN @cnnbrk Thank you President Trump!!	Sat Apr 28 15:26:11 +0000 2018
8	@CNNbrk	9	-0.7906	0.241	0.759	0.0	RT @cnnbrk: Formal end to Korean War will be declared later this year, 65 years after hostilities ceased, North and South Korean leaders ag…	Sat Apr 28 15:26:11 +0000 2018
9	@CNNbrk	10	0.2732	0.157	0.602	0.241	RT @OfficialJoelF: #BREAKING: North and South Korea agree to sign peace treaty,officially ending the Korean War (@cnnbrk) https://t.co/qrJr…	Sat Apr 28 15:26:09 +0000 2018
10	@CNNbrk	11	0.0	0.0	1.0	0.0	"RT @bhowmickanamik2: #FlagCampaign #CSW62
@OHCHRAsia @UNHumanRights @UNICEF @SayNO_UNiTE @cnni @CNNPolitics @ndtv @ZeeNews @abpnewstv #Kolk…"	Sat Apr 28 15:25:57 +0000 2018
11	@CNNbrk	12	0.0	0.0	1.0	0.0	RT @bhowmickanamik2: @cnni @CNNPolitics @TOIIndianAbroad @nytimesworld @timesofindia @MyAnandaBazar @abpnewstv @ZeeNews @cnnbrk @UNICEF @UN…	Sat Apr 28 15:25:49 +0000 2018
12	@CNNbrk	13	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:25:42 +0000 2018
13	@CNNbrk	14	0.0	0.0	1.0	0.0	"RT @Bhupinder361976: #sundaymotivation
 संत मिलन को चालिए तज माया अभिमान,
 जो जो पग आगे धरे वोही यज्ञ समान!
  संत शरण में आए के आई टले बला,…"	Sat Apr 28 15:25:20 +0000 2018
14	@CNNbrk	15	-0.7717	0.265	0.671	0.064	RT @IsinwaMDelight: The world crisis is nothing to compare with Nigeria government rate of wicked, Nigeria govt is playing politics with in…	Sat Apr 28 15:25:16 +0000 2018
15	@CNNbrk	16	0.0	0.0	1.0	0.0	RT @bhowmickanamik2: https://t.co/qmzYlcBhCY  https://t.co/lEjWqslD0v @cnni @CNNPolitics @TOIIndianAbroad @nytimesworld @timesofindia @ZeeN…	Sat Apr 28 15:25:15 +0000 2018
16	@CNNbrk	17	-0.34	0.178	0.702	0.12	@cnnbrk I think the reason why these killers are protected  is because protecting those cops means protecting the s… https://t.co/COj5go29ht	Sat Apr 28 15:24:43 +0000 2018
17	@CNNbrk	18	-0.7783	0.291	0.709	0.0	RT @cnnbrk: GOP Rep. Patrick Meehan is resigning. He has been under fire for using taxpayer money to settle a sexual harassment accusation.…	Sat Apr 28 15:24:30 +0000 2018
18	@CNNbrk	19	0.0	0.0	1.0	0.0	@SRuhle @MSNBC @NBCNightlyNews @BrookeBCNN @chrissyteigen @johnlegend @TheEllenShow @ladygaga @MileyCyrus… https://t.co/JvNBjtpMdG	Sat Apr 28 15:23:29 +0000 2018
19	@CNNbrk	20	-0.5423	0.179	0.821	0.0	@cnnbrk Running out of bad things to say about @POTUS as history is being made without you.	Sat Apr 28 15:22:59 +0000 2018
20	@CNNbrk	21	-0.34	0.124	0.876	0.0	@CNNPolitics @cnnbrk CNN reported this week that Dr. Ronny Jackson got drunk overseas, loudly banged on colleague's… https://t.co/0OrVzChPKU	Sat Apr 28 15:22:45 +0000 2018
21	@CNNbrk	22	0.0	0.0	1.0	0.0	@NWayoe @BBCBreaking @cnnbrk Not so sure😂	Sat Apr 28 15:22:38 +0000 2018
22	@CNNbrk	23	-0.7783	0.291	0.709	0.0	RT @cnnbrk: GOP Rep. Patrick Meehan is resigning. He has been under fire for using taxpayer money to settle a sexual harassment accusation.…	Sat Apr 28 15:22:33 +0000 2018
23	@CNNbrk	24	0.0	0.0	1.0	0.0	@POTUS @VP @realDonaldTrump @WhiteHouse @RealJamesWoods @RealOmarNavarro @JanMorgan_ @SheriffClarke @DineshDSouza… https://t.co/1YbVFlRd7A	Sat Apr 28 15:21:59 +0000 2018
24	@CNNbrk	25	-0.7717	0.265	0.671	0.064	RT @IsinwaMDelight: The world crisis is nothing to compare with Nigeria government rate of wicked, Nigeria govt is playing politics with in…	Sat Apr 28 15:21:44 +0000 2018
25	@CNNbrk	26	0.0258	0.0	0.948	0.052	As tweeted 17 Aug 2017 that Doklam matter will be sorted out amicably,it happened same way.China and India have rea… https://t.co/LJB8PdSVtg	Sat Apr 28 15:20:29 +0000 2018
26	@CNNbrk	27	0.0	0.0	1.0	0.0	RT @cnnbrk: Skeletal remains of more than 140 children were found in Peru. It's evidence from 550 years ago of what may be the largest chil…	Sat Apr 28 15:20:21 +0000 2018
27	@CNNbrk	28	0.4019	0.0	0.87	0.13	RT @cali_toad: #GoldenStateKiller #COP  #BadCop Yes ‼️ #WeCallBS @cnnbrk @CBS @FoxNews @nbcsandiego @NBCNews @NewsHour @cnn @BBCWorld  @ABC…	Sat Apr 28 15:20:19 +0000 2018
28	@CNNbrk	29	0.4588	0.077	0.775	0.148	@cnnbrk are you so caught up WITH your love of a PORN STAR that you refuse to see what the Democrats do? Dr Jackson… https://t.co/3LIhRUjSOU	Sat Apr 28 15:19:22 +0000 2018
